"crimes","prbarr","prbpris","polpc","density","area","taxpc","region","pctmin","pctymale","wcon","wsta","wser","wtrd","wfir","name"
3901,0.289696,0.472222,0.0017868,230.7159,423.943,25.69763,"central",20.2187,0.0876968,206.4803,236.24,215.7335,182.333,272.4492,"Alamance County"
416,0.202899,0.465753,0.0005939,97.6834,259.994,14.56088,"central",7.91632,0.0870046,188.7683,247.38,191.3742,151.4234,202.4292,"Alexander County"
91,0.406593,0.5,0.0008209,41.27659,235.059,18.6306,"west",3.16053,0.0738525,147.929,233.33,158.2278,143.5132,200.3205,"Alleghany County"
562,0.431095,0.431373,0.0014327,48.21764,531.452,38.24473,"central",47.9161,0.0836378,284.5809,206.07,208.4636,174.2457,207.1006,"Anson County"
170,0.631579,0.383333,0.0008353,53.05164,426.135,16.85321,"west",1.79619,0.079058,195.9361,234.75,178.7785,152.7354,209.0301,"Ashe County"
275,0.36965,0.226415,0.0019067,59.10931,247.087,22.32144,"west",1.5407,0.1063334,199.2377,227.69,176.5392,150.5835,195.3125,"Avery County"
1237,0.319665,0.5,0.001207,49.75787,827.192,20.10284,"other",32.1794,0.0793392,192.6931,247.95,182.9082,172.9289,230.1118,"Beaufort County"
354,0.453258,0.48913,0.0009521,30.09986,699.27,21.63124,"other",61.054,0.0905428,192.3077,253.39,169.6833,164.6214,253.5926,"Bertie County"
569,0.483986,0.460317,0.0013272,34.92605,874.328,24.73512,"other",40.389,0.0859525,162.6483,226.58,161.216,178.4642,202.4292,"Bladen County"
828,0.326196,0.40458,0.0019298,43.37209,846.973,53.86683,"other",24.3117,0.0824936,207.1006,238.67,174.047,144.7477,211.4724,"Brunswick County"
5663,0.262854,0.541096,0.0018014,246.1305,656.672,25.49358,"west",9.62444,0.0795678,231.9226,274.2,217.2891,183.7432,256.5369,"Buncombe County"
2351,0.194303,0.439394,0.0014249,145.2381,507.099,17.68813,"west",7.93198,0.0901801,194.6529,249.19,221.4906,165.6805,248.296,"Burke County"
3140,0.255969,0.617886,0.0015847,240.6593,361.749,18.93759,"central",15.0998,0.0837747,226.2443,274.57,218.8219,176.687,247.5474,"Cabarrus County"
2409,0.26433,0.547297,0.0013843,144.586,471.566,18.62241,"west",6.45795,0.0887975,221.0781,204.43,209.9971,173.4647,218.8868,"Caldwell County"
422,0.484561,0.5,0.0006188,49.53271,424.922,22.2749,"central",43.9169,0.0939623,192.3077,264.34,174.8252,162.6131,192.3077,"Caswell County"
4449,0.287653,0.53271,0.0017513,269.4444,398.721,26.45751,"central",10.0838,0.0858721,244.6663,256.6,224.0796,208.3428,250.8361,"Catawba County"
731,0.238786,0.341085,0.0010886,48.0226,682.185,18.73018,"central",27.8079,0.0822112,184.6154,264.67,160.9624,166.8613,213.6752,"Chatham County"
308,0.291803,0.4,0.0011406,42.69912,455.426,21.25022,"west",3.94549,0.072731,197.8474,226.26,142.5729,150.1752,208.3333,"Cherokee County"
